Players,Team,Type,Base,Sold
Naveen-ul-Haq,-,BOWL,2,Unsold
Jaydev Unadkat,SRH,BOWL,1,1
Umesh Yadav,-,BOWL,2,Unsold
Rishad Hossain,-,BOWL,0.75,Unsold
Zahir Khan,-,BOWL,0.75,TBA
Nqabayomzi Peter,-,BOWL,0.75,TBA
Tanveer Sangha,-,BOWL,0.75,TBA
Tabraiz Shamsi,-,BOWL,2,TBA
Jeffrey Vandersay,-,BOWL,0.75,TBA
Sachin Baby,SRH,BAT,0.3,0.3
Priyam Garg,-,BAT,0.3,TBA
Harnoor Singh,PBKS,BAT,0.3,0.3
R Smaran,-,BAT,0.3,TBA
Shashwat Rawat,-,BAT,0.3,TBA
C Andre Siddarth,CSK,BAT,0.3,0.3
Avneesh Sudha,-,BAT,0.3,TBA
Apoorv Wankhade,-,BAT,0.3,TBA
Yudhvir Singh,RR,AR,0.3,0.35
Rishi Dhawan,-,AR,0.3,Unsold
Rajvardhan Hangargekar,LSG,AR,0.3,0.3
Tanush Kotian,-,AR,0.3,Unsold
Arshin Kulkarni,LSG,AR,0.3,0.3
Shams Mulani,-,AR,0.3,TBA
Shivam Singh,-,AR,0.3,Unsold
Lalit Yadav,-,AR,0.3,TBA
Mohammed Azharuddeen,-,BAT,0.3,TBA
LR Chethan,-,BAT,0.3,Unsold
Aryaman Singh,-,BAT,0.3,TBA
Urvil Patel,-,BAT,0.3,TBA
Sanskar Rawat,-,BAT,0.3,TBA
Bipin Saurabh,-,BAT,0.3,TBA
Tanay Thyagarajan,-,BAT,0.3,TBA
Money Grewal,-,BOWL,0.3,TBA
Ashwani Kumar,MI,BOWL,0.3,0.3
Ishan Porel,-,BOWL,0.3,TBA
Abhilash Shetty,-,BOWL,0.3,TBA
Akash Singh,LSG,BOWL,0.3,0.3
Gurjapneet Singh,CSK,BOWL,0.3,2.2
Basil Thampi,-,BOWL,0.3,TBA
Murugan Ashwin,-,BOWL,0.3,Unsold
Shreyas Chavan,-,BOWL,0.3,TBA
Chintal Gandhi,-,BOWL,0.3,TBA
Raghav Goyal,-,BOWL,0.3,Unsold
Jagadeesha Suchith,-,BOWL,0.3,TBA
Roshan Waghsare,-,BOWL,0.3,TBA
Bailapudi Yeswanth,-,BOWL,0.3,Unsold
Sediqullah Atal,-,BAT,0.75,TBA
Matthew Breetzke,LSG,BAT,0.75,0.75
Mark Chapman,-,BAT,1.5,TBA
Brandon King,-,BAT,0.75,Unsold
Evin Lewis,-,BAT,2,TBA
Pathum Nissanka,-,BAT,0.75,Unsold
Bhanuka Rajapaksa,-,BAT,0.75,TBA
Steven Smith,-,BAT,2,Unsold
Gus Atkinson,-,AR,2,Unsold
Tom Curran,-,AR,2,TBA
Krishnappa Gowtham,-,AR,1,TBA
Mohammad Nabi,-,AR,1.5,TBA
Gulbadin Naib,-,AR,1,TBA
Sikandar Raza,-,AR,1.25,Unsold
Mitchell Santner,MI,AR,2,2
Jayant Yadav,GT,AR,0.75,0.75
Johnson Charles,-,BAT,0.75,TBA
Litton Das,-,BAT,0.75,TBA
Andre Fletcher,-,BAT,0.75,TBA
Tom Latham,-,BAT,1.5,Unsold
Ollie Pope,-,BAT,0.75,TBA
Kyle Verreynne,-,BAT,0.75,TBA
Fazalhaq Farooqi,RR,BOWL,2,2
Richard Gleeson,-,BOWL,0.75,Unsold
Matt Henry,-,BOWL,2,TBA
Alzarri Joseph,-,BOWL,2,Unsold
Kwena Maphaka,RR,BOWL,0.75,1.5
Kuldeep Sen,PBKS,BOWL,0.75,0.8
Reece Topley,MI,BOWL,0.75,0.75
Lizaad Williams,MI,BOWL,0.75,0.75
Luke Wood,-,BOWL,0.75,Unsold
Sachin Dhas,-,BAT,0.3,Unsold
Leus du Plooy,-,BAT,0.5,Unsold
Ashwin Hebbar,-,BAT,0.3,TBA
Rohan  Kunnummal,-,BAT,0.3,TBA
Ayush Pandey,-,BAT,0.3,TBA
Akshat Raghuwanshi,-,BAT,0.3,TBA
Shoun Roger,-,BAT,0.4,TBA
Virat Singh,-,BAT,0.3,TBA
Priyansh Arya,PBKS,AR,0.3,3.8
Manoj Bhandage,RCB,AR,0.3,0.3
Praveen Dubey,PBKS,AR,0.3,0.3
Ajay Mandal,DC,AR,0.3,0.3
Prerak Mankad,-,AR,0.3,TBA
Vipraj Nigam,DC,AR,0.3,0.5
Vicky Ostwal,-,AR,0.3,TBA
Shivalik Sharma,-,AR,0.3,Unsold
Salil Arora,-,BAT,0.3,TBA
Dinesh Bana,-,BAT,0.3,TBA
Guruswamy Ajitesh,-,BAT,0.3,TBA
Narayan Jagadeesan,-,BAT,0.3,TBA
Krishnan Shrijith,MI,BAT,0.3,0.3
Michael Pepper,-,BAT,0.5,TBA
Vishnu Solanki,-,BAT,0.3,TBA
KM Asif,-,BOWL,0.3,TBA
Akhil Chaudhary,-,BOWL,0.3,TBA
Himanshu Chauhan,-,BOWL,0.3,TBA
Arpit Guleria,-,BOWL,0.3,Unsold
Saranu Nishanth,-,BOWL,0.3,TBA
Kuldip Yadav,-,BOWL,0.3,TBA
Prithvi Raj,-,BOWL,0.3,TBA
Shubham Agarwal,-,BOWL,0.3,TBA
Jasinder Singh,-,BOWL,0.3,TBA
Jasmer Dhankhar,-,BOWL,0.3,TBA
Pulkit Narang,-,BOWL,0.3,TBA
Saumy Pandey,-,BOWL,0.3,TBA
Mohit Rathee,RCB,BOWL,0.3,0.3
Himanshu Singh,-,BOWL,0.3,TBA
Towhid Hridoy,-,BAT,0.75,TBA
Mikyle Louis,-,BAT,0.75,TBA
Harry Tector,-,BAT,0.75,TBA
Rassie van der Dussen,-,BAT,2,TBA
Will Young,-,BAT,1.25,TBA
Najibullah Zadran,-,BAT,0.75,TBA
Ibrahim Zadran,-,BAT,0.75,TBA
Sean Abbott,-,AR,2,TBA
Jacob Bethell,RCB,AR,1.25,2.6
Brydon Carse,SRH,AR,1,1
Aaron Hardie,PBKS,AR,1.25,1.25
Sarfaraz Khan,-,AR,0.75,Unsold
Kyle Mayers,-,AR,1.5,Unsold
Kamindu Mendis,SRH,AR,0.75,0.75
Matthew Short,-,AR,0.75,Unsold
Jason Behrendorff,-,BOWL,1.5,Unsold
Dushmantha Chameera,DC,BOWL,0.75,0.75
Nathan Ellis,CSK,BOWL,1.25,2
Shamar Joseph,LSG,BOWL,0.75,0.75
Josh Little,-,BOWL,0.75,TBA
Shivam Mavi,-,BOWL,0.75,Unsold
Jhye Richardson,-,BOWL,1.5,TBA
Navdeep Saini,-,BOWL,0.75,Unsold
Tanmay Agarwal,-,BAT,0.3,TBA
Amandeep Khare,-,BAT,0.3,TBA
Ayush Mhatre,-,BAT,0.3,TBA
Salman Nizar,-,BAT,0.3,Unsold
Aniket Verma,SRH,BAT,0.3,0.3
Sumeet Verma,-,BAT,0.3,TBA
Manan Vohra,-,BAT,0.3,TBA
Samarth Vyas,-,BAT,0.3,TBA
Raj Bawa,MI,AR,0.3,0.3
Emanjot Singh Chahal,-,AR,0.3,Unsold
Musheer Khan,PBKS,AR,0.3,0.3
Manvanth Kumar,DC,AR,0.3,0.3
Mayank Rawat,-,AR,0.3,TBA
Suryansh Shedge,PBKS,AR,0.3,0.3
Hrithik Shokeen,-,AR,0.3,TBA
Sonu Yadav,-,AR,0.3,TBA
Rithik Easwaran,-,BAT,0.3,TBA
Anmol Malhotra,-,BAT,0.3,TBA
Pradosh Ranjan Paul,-,BAT,0.3,TBA
Karteek Sharma,-,BAT,0.3,TBA
Akash Singh,-,BAT,0.3,TBA
Tejasvi Singh,-,BAT,0.3,TBA
Siddarth Yadav,-,BAT,0.3,TBA
Saurabh Dubey,-,BOWL,0.3,TBA
Aaqib Khan,-,BOWL,0.3,TBA
Kulwant Khejroliya,GT,BOWL,0.3,0.3
Ankit Rajpoot,-,BOWL,0.3,TBA
Divesh Sharma,-,BOWL,0.3,Unsold
Naman Tiwari,-,BOWL,0.3,Unsold
Prince Yadav,LSG,BOWL,0.3,0.3
Kunal Singh Chibb,-,BOWL,0.3,TBA
Yuvraj Chudasama,-,BOWL,0.3,TBA
Deepak Devadiga,-,BOWL,0.3,TBA
